GW,week,player_key,player,team,Pos,mins,xG_scaled,xA_scaled,xPts,fixtures_in_week,MC_MeanPts,MC_StdPts,MC_Floor,MC_P25,MC_P75,MC_Upside,MC_CaptainMean,MC_CaptainUpside,MC_P1_Return,MC_P2_Return,Bracket_LE_2,Bracket_3_to_6,Bracket_7_to_9,Bracket_10_to_14,Bracket_15_plus,MC_MinPts,MC_MaxPts
35,1,amad diallo traore|manchester united,Amad Diallo Traore,Manchester United,MID,30.0,0.071291,0.067049,1.514296,1,0.9625,1.7522253707785422,0,0,1,1,1.925,2,0.0835,0.0074,0.9163,0.0527,0.0253,0.0054,0.0003,-2,18
35,1,amadou onana|aston villa,Amadou Onana,Aston Villa,MID,75.0,0.110948,0.027909,3.235671,1,3.1449,2.3589624816855395,1,2,4,6,6.2898,12,0.1184,0.0079,0.5461,0.3571,0.0684,0.026,0.0024,-2,18
35,1,amine adli|bournemouth,Amine Adli,Bournemouth,MID,15.0,0.049361,0.023022,1.277539,1,0.8219,1.4940483225116916,0,0,1,1,1.6438,2,0.0538,0.0032,0.9459,0.031,0.0204,0.0026,0.0001,-2,19
35,1,andrew robertson|liverpool,Andrew Robertson,Liverpool,DEF,15.0,0.014419,0.015212,1.071429,1,0.298,1.035275808661634,0,0,1,1,0.596,2,0.0229,0.0005,0.9779,0.0137,0.0073,0.0011,0.0,-4,12
35,1,andrey santos|chelsea,Andrey Santos,Chelsea,MID,60.0,0.078579,0.037037,2.622238,1,1.9283,2.2055745532627093,0,0,3,4,3.8566,8,0.08,0.0047,0.7352,0.2075,0.0457,0.0108,0.0008,-1,20
35,1,andrés garcía|aston villa,Andrés García,Aston Villa,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,andré|wolverhampton wanderers,André,Wolverhampton Wanderers,MID,75.0,0.016068,0.034549,2.578269,1,2.4892,1.6895216364403267,1,1,3,5,4.9784,10,0.0464,0.0016,0.5952,0.3805,0.0192,0.0049,0.0002,-2,17
35,1,andy irving|west ham,Andy Irving,West Ham,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,angel gomes|wolverhampton wanderers,Angel Gomes,Wolverhampton Wanderers,MID,60.0,0.025183,0.038657,2.34858,1,1.6052,1.5856648321760813,0,0,2,3,3.2104,6,0.0453,0.0017,0.8135,0.1652,0.0185,0.0027,0.0001,-1,15
35,1,angus gunn|nottingham forest,Angus Gunn,Nottingham Forest,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,anthony elanga|newcastle united,Anthony Elanga,Newcastle United,MID,60.0,0.066703,0.108332,2.82852,1,2.0405,2.279837658694145,0,0,2,5,4.081,10,0.1253,0.0117,0.7594,0.1788,0.0481,0.0123,0.0014,-1,21
35,1,anthony gordon|newcastle united,Anthony Gordon,Newcastle United,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,antoine semenyo|manchester city,Antoine Semenyo,Manchester City,MID,90.0,0.301158,0.090236,4.084204,1,4.1921,3.316745029392522,2,2,6,9,8.3842,18,0.2974,0.0525,0.4482,0.3078,0.169,0.0604,0.0146,-1,24
35,1,anton stach|leeds,Anton Stach,Leeds,MID,75.0,0.109761,0.341284,4.078246,1,4.0281,3.021342481414512,1,2,6,8,8.0562,16,0.3385,0.0655,0.4014,0.4166,0.1204,0.0546,0.007,-2,24
35,1,antonee robinson|fulham,Antonee Robinson,Fulham,DEF,90.0,0.003411,0.036552,2.173798,1,2.1731,2.231173769566145,0,1,3,6,4.3462,12,0.0359,0.0004,0.7287,0.2161,0.0499,0.0053,0.0,-4,13
35,1,antoni milambo|brentford,Antoni Milambo,Brentford,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,ao tanaka|leeds,Ao Tanaka,Leeds,MID,60.0,0.113907,0.130498,3.347187,1,2.5244,2.830159825875563,0,0,3,7,5.0488,14,0.1565,0.0202,0.6087,0.2863,0.0773,0.0235,0.0042,-1,22
35,1,archie gray|tottenham,Archie Gray,Tottenham,MID,75.0,0.087473,0.128612,2.76724,1,2.7481,2.2888963257430426,1,1,3,6,5.4962,12,0.1872,0.0165,0.6801,0.2262,0.0758,0.0168,0.0011,-2,22
35,1,armando broja|burnley,Armando Broja,Burnley,FWD,60.0,0.095863,0.030742,2.435786,1,1.7081,1.8989192689527379,0,0,2,2,3.4162,4,0.0885,0.0062,0.9112,0.046,0.0375,0.0049,0.0004,-1,16
35,1,arnaud kalimuendo muinga|nottingham forest,Arnaud Kalimuendo Muinga,Nottingham Forest,FWD,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,arthur masuaku|sunderland,Arthur Masuaku,Sunderland,FWD,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,ashley barnes|burnley,Ashley Barnes,Burnley,FWD,15.0,0.066858,0.0,1.228073,1,0.7739,1.359183133356208,0,0,1,1,1.5478,2,0.0478,0.0036,0.9522,0.0352,0.01,0.0024,0.0002,-2,16
35,1,axel disasi|west ham,Axel Disasi,West Ham,DEF,90.0,0.090851,0.00022,2.514964,1,2.5843,2.902187711020774,0,1,4,7,5.1686,14,0.0763,0.0026,0.7216,0.1712,0.0828,0.0208,0.0036,-4,22
35,1,axel tuanzebe|burnley,Axel Tuanzebe,Burnley,DEF,75.0,0.030568,0.0,2.147192,1,2.03,2.4112444919584575,0,1,3,6,4.06,12,0.0267,0.0004,0.7237,0.2096,0.0564,0.0091,0.0012,-4,19
35,1,ayden heaven|manchester united,Ayden Heaven,Manchester United,DEF,15.0,0.003255,0.006137,0.965965,1,0.2617,0.7126100686911462,0,0,1,1,0.5234,2,0.0075,0.0,0.9924,0.0057,0.0018,0.0001,0.0,-3,10
35,1,bafode diakite|bournemouth,Bafode Diakite,Bournemouth,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,bart verbruggen|brighton,Bart Verbruggen,Brighton,GK,90.0,0.0,0.000946,3.207007,1,2.9398,2.2928096214033995,1,1,4,7,5.8796,14,0.0011,0.0,0.5937,0.2837,0.1198,0.0028,0.0,-3,11
35,1,bashir humphreys|burnley,Bashir Humphreys,Burnley,DEF,15.0,0.00341,0.006023,0.895198,1,0.073,0.7814544132577408,-1,0,0,1,0.146,2,0.0082,0.0,0.9922,0.0056,0.0021,0.0001,0.0,-5,10
35,1,ben davies|tottenham,Ben Davies,Tottenham,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,ben doak|bournemouth,Ben Doak,Bournemouth,FWD,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,ben white|arsenal,Ben White,Arsenal,DEF,15.0,0.011386,0.044401,1.17296,1,0.583,1.0815317840914338,0,0,1,1,1.166,2,0.0385,0.0014,0.9619,0.0303,0.007,0.0007,0.0001,-3,16
35,1,ben winterburn|bournemouth,Ben Winterburn,Bournemouth,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,bendito mantato|manchester united,Bendito Mantato,Manchester United,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,benjamin sesko|manchester united,Benjamin Sesko,Manchester United,FWD,60.0,0.362128,0.022034,3.454638,1,2.6757,3.231923500022858,0,0,2,7,5.3514,14,0.2365,0.0491,0.7635,0.0901,0.0992,0.0415,0.0057,-1,21
35,1,benoit badiashile mukinayi|chelsea,Benoit Badiashile Mukinayi,Chelsea,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,bernardo silva|manchester city,Bernardo Silva,Manchester City,MID,75.0,0.058813,0.124351,2.775949,1,2.6885,2.098444126013366,1,1,3,6,5.377,12,0.1588,0.0126,0.6217,0.3101,0.0531,0.0138,0.0013,-2,18
35,1,bernd leno|fulham,Bernd Leno,Fulham,GK,90.0,0.0,0.0,2.492044,1,2.1845,2.0530123599238266,0,1,3,6,4.369,12,0.0,0.0,0.7318,0.2064,0.0608,0.001,0.0,-5,12
35,1,bertrand traoré|sunderland,Bertrand Traoré,Sunderland,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,beto|everton,Beto,Everton,FWD,60.0,0.250175,0.018919,2.904773,1,2.1599,2.650986984124969,0,0,2,6,4.3198,12,0.1732,0.0247,0.8257,0.0796,0.0722,0.0205,0.002,-1,18
35,1,borna sosa|crystal palace,Borna Sosa,Crystal Palace,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,boubacar kamara|aston villa,Boubacar Kamara,Aston Villa,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
